"","grp","subj","sent","seg","item","acc","rt","segtype","contr"
"346","EC",24010,"SO","d",12,1,"259","other","SOSS"
"347","EC",24010,"SO","c",13,1,"460","other","SOSS"
"348","EC",24010,"SO","d",13,1,"877","other","SOSS"
"349","EC",24010,"SO","c",14,1,"628","other","SOSS"
"350","EC",24010,"SO","d",14,1,"309","other","SOSS"
"351","EC",24010,"SO","c",15,1,"491","other","SOSS"
"352","EC",24010,"SO","d",15,1,"958","other","SOSS"
"353","EC",24010,"SO","c",16,1,"288","other","SOSS"
"354","EC",24010,"SO","d",16,1,"384","other","SOSS"
"355","EC",24010,"SO","c",17,1,"393","other","SOSS"
"356","EC",24010,"SO","d",17,1,"897","other","SOSS"
"357","EC",24010,"SO","c",18,1,"620","other","SOSS"
"358","EC",24010,"SO","d",18,1,"590","other","SOSS"
"359","EC",24010,"SO","c",19,0,"380","other","SOSS"
"360","EC",24010,"SO","d",19,0,"517","other","SOSS"
"361","EC",24010,"SO","c",20,1,"645","other","SOSS"
"362","EC",24010,"SO","d",20,1,"235","other","SOSS"
"363","EC",24010,"SS","c",11,1,"237","other","SOSS"
"364","EC",24010,"SS","d",11,1,"257","other","SOSS"
"365","EC",24010,"SS","c",12,1,"252","other","SOSS"
"366","EC",24010,"SS","d",12,1,"288","other","SOSS"
"367","EC",24010,"SS","c",13,1,"153","other","SOSS"
"368","EC",24010,"SS","d",13,1,"155","other","SOSS"
"369","EC",24010,"SS","c",14,1,"175","other","SOSS"
"370","EC",24010,"SS","d",14,1,"381","other","SOSS"
"371","EC",24010,"SS","c",15,1,"172","other","SOSS"
"372","EC",24010,"SS","d",15,1,"114","other","SOSS"
"373","EC",24010,"SS","c",16,1,"283","other","SOSS"
"374","EC",24010,"SS","d",16,1,"264","other","SOSS"
"375","EC",24010,"SS","c",17,1,"424","other","SOSS"
"376","EC",24010,"SS","d",17,1,"385","other","SOSS"
"377","EC",24010,"SS","c",18,1,"515","other","SOSS"
"378","EC",24010,"SS","d",18,1,"436","other","SOSS"
"379","EC",24010,"SS","c",19,1,"175","other","SOSS"
"380","EC",24010,"SS","d",19,1,"373","other","SOSS"
"381","EC",24010,"SS","c",20,1,"206","other","SOSS"
"382","EC",24010,"SS","d",20,1,"987","other","SOSS"
"383","EC",24011,"SO","c",11,1,"518","other","SOSS"
"384","EC",24011,"SO","d",11,1,"1413","other","SOSS"
"385","EC",24011,"SO","c",12,1,"357","other","SOSS"
"386","EC",24011,"SO","d",12,1,"516","other","SOSS"
"387","EC",24011,"SO","c",13,1,"325","other","SOSS"
"388","EC",24011,"SO","d",13,1,"2422","other","SOSS"
"389","EC",24011,"SO","c",14,1,"621","other","SOSS"
"390","EC",24011,"SO","d",14,1,"2221","other","SOSS"
"391","EC",24011,"SO","c",15,1,"315","other","SOSS"
"392","EC",24011,"SO","d",15,1,"1215","other","SOSS"
"393","EC",24011,"SO","c",16,1,"567","other","SOSS"
"394","EC",24011,"SO","d",16,1,"681","other","SOSS"
"395","EC",24011,"SO","c",17,1,"490","other","SOSS"
"396","EC",24011,"SO","d",17,1,"865","other","SOSS"
"397","EC",24011,"SO","c",18,1,"317","other","SOSS"
"398","EC",24011,"SO","d",18,1,"407","other","SOSS"
"399","EC",24011,"SO","c",19,1,"437","other","SOSS"
"400","EC",24011,"SO","d",19,1,"1293","other","SOSS"
"401","EC",24011,"SO","c",20,1,"685","other","SOSS"
"402","EC",24011,"SO","d",20,1,"770","other","SOSS"
"403","EC",24011,"SS","c",12,1,"516","other","SOSS"
"404","EC",24011,"SS","d",12,1,"353","other","SOSS"
